ID,PRN Number,Name,Email,Role,Course,Year,Phone,Address,Mother Name,DOB,Books Borrowed,Extension Requests,Library Hours (Month),Library Hours (Year),Created At,Updated At
12,PRN2024012,Navya Patel,student12@college.edu,student,BTech Data Science,3rd,9876510012,"Address 12, City, State",Radha,15062005,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
13,PRN2024013,Reyansh Sharma,student13@college.edu,student,BSC CS,3rd,9876510013,"Address 13, City, State",Lata,26042004,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
14,PRN2024014,Anvi Shah,student14@college.edu,student,BTech Data Science,3rd,9876510014,"Address 14, City, State",Meera,19031999,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
15,PRN2024015,Rohit Agarwal,student15@college.edu,student,BTech Computer Science,1st,9876510015,"Address 15, City, State",Lata,03031997,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
16,PRN2024016,Arjun Bansal,student16@college.edu,student,BSC IT,1st,9876510016,"Address 16, City, State",Geeta,19022003,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
17,PRN2024017,Pihu Patel,student17@college.edu,student,BTech Computer Science,4th,9876510017,"Address 17, City, State",Meera,19022000,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
18,PRN2024018,Fatima Kumar,student18@college.edu,student,BSC IT,2nd,9876510018,"Address 18, City, State",Lata,21041998,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
19,PRN2024019,Kavya Gupta,student19@college.edu,student,BTech Data Science,4th,9876510019,"Address 19, City, State",Priya,26022000,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
20,PRN2024020,Sai Sharma,student20@college.edu,student,BSC IT,3rd,9876510020,"Address 20, City, State",Maya,25041995,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
21,PRN2024021,Priya Verma,student21@college.edu,student,BTech Data Science,3rd,9876510021,"Address 21, City, State",Geeta,25052002,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
22,PRN2024022,Krishna Verma,student22@college.edu,student,BSC IT,2nd,9876510022,"Address 22, City, State",Kavita,05032001,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
23,PRN2024023,Krishna Jain,student23@college.edu,student,BSC CS,2nd,9876510023,"Address 23, City, State",Maya,23111998,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
24,PRN2024024,Prisha Verma,student24@college.edu,student,BSC IT,5th,9876510024,"Address 24, City, State",Geeta,17092001,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
25,PRN2024025,Diya Patel,student25@college.edu,student,BTech Data Science,1st,9876510025,"Address 25, City, State",Sunita,16012005,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
26,PRN2024026,Ishaan Bansal,student26@college.edu,student,BSC CS,3rd,9876510026,"Address 26, City, State",Lata,06012001,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
27,PRN2024027,Vikash Bansal,student27@college.edu,student,BTech Computer Science,1st,9876510027,"Address 27, City, State",Lata,24112003,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
28,PRN2024028,Pihu Patel,student28@college.edu,student,BTech Computer Science,4th,9876510028,"Address 28, City, State",Shanti,14071998,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
29,PRN2024029,Sneha Singh,student29@college.edu,student,BTech Data Science,1st,9876510029,"Address 29, City, State",Meera,13092004,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
30,PRN2024030,Aditya Agarwal,student30@college.edu,student,BTech Data Science,1st,9876510030,"Address 30, City, State",Sunita,17052000,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
31,PRN2024031,Ananya Patel,student31@college.edu,student,BSC IT,3rd,9876510031,"Address 31, City, State",Sita,11112002,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
32,PRN2024032,Sneha Gupta,student32@college.edu,student,BTech Data Science,3rd,9876510032,"Address 32, City, State",Priya,10081999,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
33,PRN2024033,Ira Verma,student33@college.edu,student,BSC CS,5th,9876510033,"Address 33, City, State",Maya,18121998,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
34,PRN2024034,Prisha Gupta,student34@college.edu,student,BTech Data Science,1st,9876510034,"Address 34, City, State",Meera,09111998,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
35,PRN2024035,Ishaan Jain,student35@college.edu,student,BSC CS,5th,9876510035,"Address 35, City, State",Meera,26012004,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
36,PRN2024036,Fatima Gupta,student36@college.edu,student,BTech Computer Science,5th,9876510036,"Address 36, City, State",Sita,15072001,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
37,PRN2024037,Rohit Sharma,student37@college.edu,student,BTech Computer Science,1st,9876510037,"Address 37, City, State",Meera,13122005,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
38,PRN2024038,Diya Patel,student38@college.edu,student,BTech Computer Science,1st,9876510038,"Address 38, City, State",Meera,03052003,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
39,PRN2024039,Myra Jain,student39@college.edu,student,BSC CS,2nd,9876510039,"Address 39, City, State",Radha,23071995,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
40,PRN2024040,Arjun Singh,student40@college.edu,student,BTech Data Science,5th,9876510040,"Address 40, City, State",Kavita,26021996,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
41,PRN2024041,Ira Kumar,student41@college.edu,student,BTech Data Science,2nd,9876510041,"Address 41, City, State",Lata,17121999,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
42,PRN2024042,Pihu Verma,student42@college.edu,student,BSC CS,2nd,9876510042,"Address 42, City, State",Sita,14051995,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
43,PRN2024043,Rohit Verma,student43@college.edu,student,BSC IT,1st,9876510043,"Address 43, City, State",Sita,04031999,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
44,PRN2024044,Anvi Verma,student44@college.edu,student,BSC CS,4th,9876510044,"Address 44, City, State",Maya,16082000,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
45,PRN2024045,Fatima Gupta,student45@college.edu,student,BSC CS,3rd,9876510045,"Address 45, City, State",Radha,14052002,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
46,PRN2024046,Rahul Sharma,student46@college.edu,student,BSC IT,5th,9876510046,"Address 46, City, State",Radha,28081999,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
47,PRN2024047,Navya Verma,student47@college.edu,student,BSC IT,3rd,9876510047,"Address 47, City, State",Sita,02111999,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
48,PRN2024048,Prisha Agarwal,student48@college.edu,student,BTech Data Science,5th,9876510048,"Address 48, City, State",Lata,22072003,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
49,PRN2024049,Rahul Kumar,student49@college.edu,student,BTech Computer Science,3rd,9876510049,"Address 49, City, State",Maya,04041997,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
50,PRN2024050,Pooja Kumar,student50@college.edu,student,BSC IT,1st,9876510050,"Address 50, City, State",Meera,27121999,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
51,PRN2024051,Ananya Agarwal,student51@college.edu,student,BTech Computer Science,4th,9876510051,"Address 51, City, State",Kavita,15071999,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
52,PRN2024052,Vikash Kumar,student52@college.edu,student,BTech Data Science,2nd,9876510052,"Address 52, City, State",Meera,20022004,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
53,PRN2024053,Riya Patel,student53@college.edu,student,BTech Computer Science,4th,9876510053,"Address 53, City, State",Lata,08101999,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
54,PRN2024054,Ananya Patel,student54@college.edu,student,BTech Computer Science,4th,9876510054,"Address 54, City, State",Maya,01122001,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
55,PRN2024055,Arjun Agarwal,student55@college.edu,student,BTech Computer Science,5th,9876510055,"Address 55, City, State",Meera,25052004,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
56,PRN2024056,Prisha Jain,student56@college.edu,student,BTech Computer Science,3rd,9876510056,"Address 56, City, State",Kavita,20021997,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
57,PRN2024057,Myra Sharma,student57@college.edu,student,BTech Computer Science,2nd,9876510057,"Address 57, City, State",Priya,09082003,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
58,PRN2024058,Pooja Agarwal,student58@college.edu,student,BSC IT,1st,9876510058,"Address 58, City, State",Shanti,13031995,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
59,PRN2024059,Pihu Jain,student59@college.edu,student,BSC IT,3rd,9876510059,"Address 59, City, State",Kavita,02121998,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
60,PRN2024060,Suresh Shah,student60@college.edu,student,BSC IT,5th,9876510060,"Address 60, City, State",Sunita,23041996,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
61,PRN2024061,Sneha Gupta,student61@college.edu,student,BTech Data Science,2nd,9876510061,"Address 61, City, State",Sita,18052000,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
62,PRN2024062,Aarav Agarwal,student62@college.edu,student,BSC CS,2nd,9876510062,"Address 62, City, State",Lata,02042003,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
63,PRN2024063,Sneha Bansal,student63@college.edu,student,BSC CS,2nd,9876510063,"Address 63, City, State",Sunita,16012004,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
64,PRN2024064,Fatima Gupta,student64@college.edu,student,BSC IT,1st,9876510064,"Address 64, City, State",Priya,11101996,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
65,PRN2024065,Kavya Kumar,student65@college.edu,student,BSC IT,1st,9876510065,"Address 65, City, State",Radha,17032004,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
66,PRN2024066,Amit Singh,student66@college.edu,student,BSC IT,4th,9876510066,"Address 66, City, State",Geeta,11021995,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
67,PRN2024067,Prisha Shah,student67@college.edu,student,BSC IT,2nd,9876510067,"Address 67, City, State",Shanti,16012002,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
68,PRN2024068,Ishaan Agarwal,student68@college.edu,student,BTech Computer Science,1st,9876510068,"Address 68, City, State",Priya,20121996,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
69,PRN2024069,Diya Bansal,student69@college.edu,student,BSC CS,1st,9876510069,"Address 69, City, State",Sita,04042002,0,0,0.0,0.0,2025-11-17 14:38:17.944724,2025-11-17 14:38:17.944724
70,PRN2024070,Anita Verma,student70@college.edu,student,BTech Data Science,1st,9876510070,"Address 70, City, State",Shanti,19042005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
71,PRN2024071,Kavya Bansal,student71@college.edu,student,BSC CS,5th,9876510071,"Address 71, City, State",Geeta,03112004,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
72,PRN2024072,Ananya Patel,student72@college.edu,student,BTech Data Science,5th,9876510072,"Address 72, City, State",Kavita,04102003,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
73,PRN2024073,Priya Shah,student73@college.edu,student,BSC CS,5th,9876510073,"Address 73, City, State",Sunita,11032000,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
74,PRN2024074,Sai Patel,student74@college.edu,student,BTech Computer Science,2nd,9876510074,"Address 74, City, State",Sita,02052002,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
75,PRN2024075,Aditya Bansal,student75@college.edu,student,BSC IT,4th,9876510075,"Address 75, City, State",Lata,14021995,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
76,PRN2024076,Anvi Verma,student76@college.edu,student,BSC CS,4th,9876510076,"Address 76, City, State",Sita,10081999,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
77,PRN2024077,Arjun Sharma,student77@college.edu,student,BTech Computer Science,1st,9876510077,"Address 77, City, State",Maya,28101996,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
78,PRN2024078,Arjun Shah,student78@college.edu,student,BTech Data Science,4th,9876510078,"Address 78, City, State",Sita,17062005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
79,PRN2024079,Ira Bansal,student79@college.edu,student,BSC IT,1st,9876510079,"Address 79, City, State",Radha,09062000,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
80,PRN2024080,Navya Agarwal,student80@college.edu,student,BTech Computer Science,3rd,9876510080,"Address 80, City, State",Lata,04012000,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
81,PRN2024081,Prisha Agarwal,student81@college.edu,student,BTech Data Science,3rd,9876510081,"Address 81, City, State",Shanti,08032001,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
82,PRN2024082,Ayaan Gupta,student82@college.edu,student,BSC CS,5th,9876510082,"Address 82, City, State",Priya,24111995,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
83,PRN2024083,Vihaan Kumar,student83@college.edu,student,BTech Computer Science,5th,9876510083,"Address 83, City, State",Lata,14081999,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
84,PRN2024084,Suresh Verma,student84@college.edu,student,BSC CS,5th,9876510084,"Address 84, City, State",Lata,11072002,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
85,PRN2024085,Anita Agarwal,student85@college.edu,student,BSC IT,2nd,9876510085,"Address 85, City, State",Radha,06011998,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
86,PRN2024086,Vivaan Kumar,student86@college.edu,student,BSC CS,5th,9876510086,"Address 86, City, State",Meera,08062001,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
87,PRN2024087,Vikash Patel,student87@college.edu,student,BTech Computer Science,2nd,9876510087,"Address 87, City, State",Priya,20011997,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
88,PRN2024088,Krishna Verma,student88@college.edu,student,BTech Computer Science,1st,9876510088,"Address 88, City, State",Radha,05021998,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
89,PRN2024089,Priya Gupta,student89@college.edu,student,BSC CS,2nd,9876510089,"Address 89, City, State",Sunita,05012003,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
90,PRN2024090,Ayaan Patel,student90@college.edu,student,BTech Computer Science,5th,9876510090,"Address 90, City, State",Lata,22031996,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
91,PRN2024091,Rohit Jain,student91@college.edu,student,BTech Computer Science,1st,9876510091,"Address 91, City, State",Sunita,02111997,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
92,PRN2024092,Ananya Bansal,student92@college.edu,student,BSC IT,4th,9876510092,"Address 92, City, State",Shanti,18021999,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
93,PRN2024093,Krishna Jain,student93@college.edu,student,BTech Computer Science,5th,9876510093,"Address 93, City, State",Maya,20011995,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
94,PRN2024094,Amit Jain,student94@college.edu,student,BSC CS,1st,9876510094,"Address 94, City, State",Kavita,13121996,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
95,PRN2024095,Aarav Singh,student95@college.edu,student,BSC IT,1st,9876510095,"Address 95, City, State",Priya,19011995,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
96,PRN2024096,Rahul Bansal,student96@college.edu,student,BTech Data Science,3rd,9876510096,"Address 96, City, State",Shanti,26052002,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
97,PRN2024097,Ira Agarwal,student97@college.edu,student,BSC CS,5th,9876510097,"Address 97, City, State",Meera,12041998,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
98,PRN2024098,Aarav Sharma,student98@college.edu,student,BTech Computer Science,4th,9876510098,"Address 98, City, State",Lata,05022001,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
99,PRN2024099,Riya Agarwal,student99@college.edu,student,BTech Computer Science,2nd,9876510099,"Address 99, City, State",Shanti,25092005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
100,PRN2024100,Anvi Singh,student100@college.edu,student,BTech Computer Science,3rd,9876510100,"Address 100, City, State",Maya,23092003,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
101,PRN2024101,Vivaan Kumar,student101@college.edu,student,BSC IT,2nd,9876510101,"Address 101, City, State",Geeta,09122001,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
102,PRN2024102,Riya Sharma,student102@college.edu,student,BTech Computer Science,2nd,9876510102,"Address 102, City, State",Sunita,23081999,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
103,PRN2024103,Sneha Patel,student103@college.edu,student,BSC IT,2nd,9876510103,"Address 103, City, State",Meera,14041998,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
104,PRN2024104,Prisha Verma,student104@college.edu,student,BSC CS,2nd,9876510104,"Address 104, City, State",Kavita,25091999,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
105,PRN2024105,Anita Bansal,student105@college.edu,student,BTech Computer Science,3rd,9876510105,"Address 105, City, State",Priya,12081996,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
106,PRN2024106,Suresh Gupta,student106@college.edu,student,BSC CS,5th,9876510106,"Address 106, City, State",Sunita,20032000,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
107,PRN2024107,Reyansh Verma,student107@college.edu,student,BTech Data Science,4th,9876510107,"Address 107, City, State",Priya,26012003,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
108,PRN2024108,Anvi Patel,student108@college.edu,student,BSC IT,5th,9876510108,"Address 108, City, State",Radha,12092002,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
109,PRN2024109,Pooja Kumar,student109@college.edu,student,BTech Computer Science,3rd,9876510109,"Address 109, City, State",Kavita,08031998,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
110,PRN2024110,Ishaan Verma,student110@college.edu,student,BTech Computer Science,4th,9876510110,"Address 110, City, State",Sita,17122000,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
111,PRN2024111,Vihaan Patel,student111@college.edu,student,BTech Computer Science,3rd,9876510111,"Address 111, City, State",Priya,09032002,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
112,PRN2024112,Rahul Kumar,student112@college.edu,student,BTech Computer Science,2nd,9876510112,"Address 112, City, State",Shanti,22062004,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
113,PRN2024113,Fatima Gupta,student113@college.edu,student,BSC CS,2nd,9876510113,"Address 113, City, State",Priya,14012000,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
114,PRN2024114,Aarav Patel,student114@college.edu,student,BTech Data Science,1st,9876510114,"Address 114, City, State",Sunita,25072005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
115,PRN2024115,Diya Agarwal,student115@college.edu,student,BSC IT,4th,9876510115,"Address 115, City, State",Kavita,04102005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
116,PRN2024116,Rohit Gupta,student116@college.edu,student,BSC CS,3rd,9876510116,"Address 116, City, State",Radha,14082002,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
117,PRN2024117,Aarav Jain,student117@college.edu,student,BTech Computer Science,3rd,9876510117,"Address 117, City, State",Radha,17052001,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
118,PRN2024118,Myra Agarwal,student118@college.edu,student,BTech Computer Science,2nd,9876510118,"Address 118, City, State",Shanti,01031998,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
119,PRN2024119,Suresh Sharma,student119@college.edu,student,BSC IT,4th,9876510119,"Address 119, City, State",Meera,26111995,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
120,PRN2024120,Pihu Shah,student120@college.edu,student,BSC IT,5th,9876510120,"Address 120, City, State",Shanti,15031995,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
121,PRN2024121,Ananya Bansal,student121@college.edu,student,BTech Computer Science,5th,9876510121,"Address 121, City, State",Maya,19052001,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
122,PRN2024122,Ira Gupta,student122@college.edu,student,BTech Computer Science,4th,9876510122,"Address 122, City, State",Sita,02022001,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
123,PRN2024123,Ishaan Bansal,student123@college.edu,student,BTech Computer Science,3rd,9876510123,"Address 123, City, State",Geeta,20012000,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
124,PRN2024124,Rahul Shah,student124@college.edu,student,BSC IT,3rd,9876510124,"Address 124, City, State",Radha,10082003,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
125,PRN2024125,Sai Jain,student125@college.edu,student,BTech Data Science,4th,9876510125,"Address 125, City, State",Sita,01062003,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
126,PRN2024126,Amit Bansal,student126@college.edu,student,BTech Data Science,4th,9876510126,"Address 126, City, State",Meera,10022002,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
127,PRN2024127,Kavya Agarwal,student127@college.edu,student,BSC IT,5th,9876510127,"Address 127, City, State",Geeta,21032005,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
128,PRN2024128,Aditya Sharma,student128@college.edu,student,BSC CS,5th,9876510128,"Address 128, City, State",Kavita,21042003,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
129,PRN2024129,Kavya Singh,student129@college.edu,student,BTech Computer Science,1st,9876510129,"Address 129, City, State",Shanti,03061995,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
130,PRN2024130,Krishna Sharma,student130@college.edu,student,BSC CS,3rd,9876510130,"Address 130, City, State",Kavita,02052001,0,0,0.0,0.0,2025-11-17 14:38:17.945719,2025-11-17 14:38:17.945719
